variant,status,eligible_passed,eligible_total,livingroom_eligible_passed,blocking_reason_count,blocking_reasons
anchor_top2_frag_v3,fail,16,20,0,2,overall_eligible_pass_count_min;livingroom_eligible_pass_count_min
learned_segment_classifier_off,fail,15,20,0,4,overall_eligible_pass_count_min;livingroom_eligible_pass_count_min;day7_livingroom_recall_min;day8_livingroom_fragmentation_min
