day,error_type,start,end,minutes_total,seed_hits,seeds,merged_events,fail_reasons,label_mode_source,label_occ_rate_source,motion_mean,light_mean,co2_mean,issue_tag
8,FN,2025-12-08 18:02:50,2025-12-08 18:14:35,11.92,1,22,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.102,944.9037,3243.16,possible_model_miss_despite_signal
8,FN,2025-12-08 16:44:00,2025-12-08 16:48:12,4.37,1,33,1,occupied_f1_lt_0.580,livingroom_normal_use,1.0,6.3279,1073.1425,3144.67,possible_model_miss_despite_signal
8,FN,2025-12-08 18:27:12,2025-12-08 18:30:57,3.92,1,33,1,occupied_f1_lt_0.580,livingroom_normal_use,1.0,0.0791,951.978,3225.01,possible_model_miss_despite_signal
8,FP,2025-12-08 08:58:20,2025-12-08 09:02:05,3.92,1,22,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1487,1217.9312,3124.97,possible_label_gap_or_boundary
8,FP,2025-12-08 12:37:47,2025-12-08 12:41:32,3.92,1,22,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.2008,1742.0068,3216.74,possible_label_gap_or_boundary
8,FN,2025-12-08 05:05:57,2025-12-08 05:06:19,0.53,1,11,1,occupied_f1_lt_0.580,livingroom_normal_use,1.0,0.0489,13.0108,3069.78,passive_occupancy_semantics_gap
8,FN,2025-12-08 10:53:10,2025-12-08 10:53:10,0.17,1,11,1,occupied_f1_lt_0.580,livingroom_normal_use,1.0,11.1886,684.729,3200.71,possible_model_miss_despite_signal
9,FN,2025-12-09 10:53:07,2025-12-09 11:53:15,180.75,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.6281,551.7953,3381.41,possible_model_miss_despite_signal
9,FP,2025-12-09 03:50:36,2025-12-09 04:44:16,150.22,3,"11,22,33",6,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.4942,3.0369,3166.69,likely_model_fp_low_signal
9,FN,2025-12-09 06:10:38,2025-12-09 06:53:14,108.53,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.6509,3.6136,3172.11,mixed_fn
9,FP,2025-12-09 03:00:00,2025-12-09 03:24:32,74.1,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.143,3.0372,3235.21,likely_model_fp_low_signal
9,FN,2025-12-09 09:28:27,2025-12-09 09:52:58,74.05,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.1311,371.3962,3114.54,mixed_fn
9,FN,2025-12-09 16:03:05,2025-12-09 16:27:55,68.82,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.7336,1213.3431,3333.78,possible_model_miss_despite_signal
9,FN,2025-12-09 19:31:38,2025-12-09 19:53:09,63.72,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.7905,955.4927,3194.91,possible_model_miss_despite_signal
9,FP,2025-12-09 15:55:22,2025-12-09 16:00:58,11.53,2,"22,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1588,371.3845,3269.52,mixed_fp
9,FP,2025-12-09 03:30:09,2025-12-09 03:35:57,9.53,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1361,3.0325,3261.22,likely_model_fp_low_signal
9,FP,2025-12-09 07:53:26,2025-12-09 07:56:16,3.0,1,11,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.2194,1008.0273,2923.37,possible_label_gap_or_boundary
9,FP,2025-12-09 15:33:19,2025-12-09 15:35:26,2.28,1,22,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.0904,458.1068,3277.43,possible_label_gap_or_boundary
10,FP,2025-12-10 01:57:44,2025-12-10 04:25:08,165.87,2,"11,22",2,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.7951,3.6801,2875.98,mixed_fp
10,FP,2025-12-10 04:26:49,2025-12-10 05:49:58,89.08,3,"11,22,33",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.5165,3.0292,2766.15,mixed_fp
10,FP,2025-12-10 06:53:11,2025-12-10 07:58:26,76.88,2,"11,22",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.5094,20.8677,2731.24,mixed_fp
