room,before_accuracy,after_accuracy,delta_accuracy,before_macro_f1,after_macro_f1,delta_macro_f1,before_occupied_f1,after_occupied_f1,delta_occupied_f1,before_occupied_recall,after_occupied_recall,delta_occupied_recall,before_fragmentation_score,after_fragmentation_score,delta_fragmentation_score
Bathroom,0.9018214587497304,0.9018214587497304,0.0,0.6739695695186775,0.6739695695186775,0.0,0.5132728762658818,0.5132728762658818,0.0,0.4536071999669227,0.4536071999669227,0.0,0.855834916957028,0.855834916957028,0.0
Bedroom,0.7315401469973248,0.5030470971418881,-0.22849304985543673,0.6392866845691798,0.4496371807848194,-0.1896495037843604,0.7163985188657388,0.6798517615036617,-0.03654675736207713,0.6745891367246319,0.9979147422750354,0.32332560555040346,0.7978035374587099,0.0958264915161467,-0.7019770459425632
Entrance,0.9595713687440488,0.9595713687440488,0.0,0.8219616963194978,0.8219616963194978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0
Kitchen,0.9000279753171134,0.9000279753171134,0.0,0.8278616903169734,0.8278616903169734,0.0,0.7260525187011533,0.7260525187011533,0.0,0.7153034074554356,0.7153034074554356,0.0,0.852909568564145,0.852909568564145,0.0
LivingRoom,0.6800016430251972,0.23357083400008355,-0.4464308090251136,0.5285244716993771,0.22535478916044233,-0.3031696825389348,0.2827501969394043,0.26180773192116025,-0.02094246501824404,0.4837892510900269,0.9812169440885444,0.4974276929985175,0.7500935048348841,0.39225668337510444,-0.3578368214597797
