room,before_accuracy,after_accuracy,delta_accuracy,before_macro_f1,after_macro_f1,delta_macro_f1,before_occupied_f1,after_occupied_f1,delta_occupied_f1,before_occupied_recall,after_occupied_recall,delta_occupied_recall,before_fragmentation_score,after_fragmentation_score,delta_fragmentation_score
Bathroom,0.9035331759464844,0.9035331759464844,0.0,0.6758690545054346,0.6758690545054346,0.0,0.5206470716289284,0.5206470716289284,0.0,0.4604219382102584,0.4604219382102584,0.0,0.8668795428857349,0.8668795428857349,0.0
Bedroom,0.7534867798098803,0.5039789717758091,-0.24950780803407124,0.6571858872897398,0.44988054003669364,-0.20730534725304617,0.7461887414940643,0.6806510082753557,-0.0655377332187086,0.7013639948256988,1.0,0.2986360051743012,0.8355699855699856,0.07929209998175514,-0.7562778855882305
Entrance,0.9580201153312914,0.9580201153312914,0.0,0.8214658618313094,0.8214658618313094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0
Kitchen,0.9011635970193757,0.9011635970193757,0.0,0.8305120248275136,0.8305120248275136,0.0,0.730900892964712,0.730900892964712,0.0,0.7241833665096579,0.7241833665096579,0.0,0.8752124874609395,0.8752124874609395,0.0
LivingRoom,0.7027591269966753,0.1461188598986283,-0.556640267098047,0.5425299708365903,0.12452370857753631,-0.41800626225905396,0.29117432956489747,0.24765902104926296,-0.04351530851563451,0.45178660852740843,1.0,0.5482133914725915,0.8146825396825398,0.05500810106073267,-0.7596744386218071
