room,label,start_time,end_time,day,reason,policy
bedroom,unoccupied,2025-12-08T00:00:00,2025-12-08T00:25:40,8,unsensored_sleep,option_y_runtime_mask
bedroom,unoccupied,2025-12-08T22:13:37,2025-12-08T23:59:51,8,unsensored_sleep,option_y_runtime_mask
